Student ID,Name,Age,Gender,Grade,Attendance (%),Exam Score,GPA,Teacher ID,Subject,Classrooms,Library Books,Digital Resources,Lab Facilities,Parent Education,Household Income,Internet Access,Transport,Sports Participation,Clubs Participation,Arts Participation,Semester,Parent Satisfaction,Math Marks,Science Marks,English Marks,History Marks,Computer Science Marks
S00001,Student_1,16,Male,7,73.95,53,2.65,T0249,Geography,96,5453,304,Available,High School,52630,No,Walk,No,Yes,Yes,Semester 2,5,50,63,50,78,96
S00002,Student_2,13,Male,11,90.41,64,3.2,T0248,English,13,8398,285,Not Available,Bachelor,69736,Yes,Walk,No,No,Yes,Semester 2,5,57,55,54,66,71
S00003,Student_3,14,Male,7,95.27,97,4.85,T0438,English,19,4880,266,Not Available,Bachelor,67530,Yes,Bus,Yes,Yes,Yes,Semester 1,1,54,68,97,67,83
S00004,Student_4,16,Male,10,76.85,57,2.85,T0380,English,84,2898,338,Not Available,High School,22897,Yes,Walk,No,Yes,Yes,Semester 2,5,50,53,54,98,90
S00005,Student_5,12,Female,8,95.99,98,4.9,T0286,Science,49,6726,274,Available,Bachelor,22030,No,Private,No,Yes,No,Semester 1,1,52,73,56,65,75
S00006,Student_6,17,Male,7,71.0,50,2.5,T0020,Geography,64,6243,244,Available,Master,34362,No,Walk,No,No,No,Semester 2,1,76,75,69,84,96
S00007,Student_7,14,Male,9,97.38,56,2.8,T0382,Science,82,3088,60,Available,Master,62636,No,Private,No,Yes,Yes,Semester 2,3,94,91,75,58,80
S00008,Student_8,14,Male,7,73.55,80,4.0,T0352,Science,49,6856,175,Not Available,Master,92135,No,Walk,Yes,Yes,Yes,Semester 1,3,97,68,98,93,84
S00009,Student_9,16,Female,9,89.37,67,3.35,T0381,Geography,85,4185,240,Available,Bachelor,52879,Yes,Walk,Yes,Yes,No,Semester 2,5,72,81,55,88,56
S00010,Student_10,11,Male,11,77.5,61,3.05,T0042,Science,90,9621,230,Available,Bachelor,57238,No,Private,Yes,No,Yes,Semester 2,5,93,91,75,87,89
S00011,Student_11,12,Male,7,95.1,97,4.85,T0345,Geography,32,4809,280,Available,Master,99162,No,Bus,No,No,Yes,Semester 2,2,88,94,52,92,94
